 Teff =  2700.00  logg =  3.34  mixLengthPara =  0.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.00
          18
 
             z             p             T          n<H>            He             H             C             N             O            Si            Mg            Al            Fe             S            Na             K            Ti            Ca            Li            Cl             V
  3.465801E-03  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396008E-28  3.660792E-17  1.616999E-14  4.355810E-12  2.244245E+09  3.456647E-02  1.655318E+09  2.207569E-02  9.231599E+07  2.833605E+06  6.588900E-09  3.718817E+04  2.195107E-01  2.391251E-07  1.921121E-04
  1.039714E-02  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396022E-28  3.660792E-17  1.616996E-14  4.355819E-12  2.244235E+09  3.456645E-02  1.655302E+09  2.207560E-02  9.231600E+07  2.833606E+06  6.588925E-09  3.718831E+04  2.195110E-01  2.391248E-07  1.921128E-04
  2.425981E-02  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396051E-28  3.660792E-17  1.616989E-14  4.355835E-12  2.244216E+09  3.456642E-02  1.655269E+09  2.207542E-02  9.231602E+07  2.833610E+06  6.588975E-09  3.718857E+04  2.195115E-01  2.391242E-07  1.921143E-04
  5.198515E-02  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396107E-28  3.660792E-17  1.616977E-14  4.355868E-12  2.244176E+09  3.456636E-02  1.655204E+09  2.207506E-02  9.231605E+07  2.833618E+06  6.589074E-09  3.718911E+04  2.195126E-01  2.391230E-07  1.921172E-04
  1.074358E-01  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396220E-28  3.660792E-17  1.616953E-14  4.355933E-12  2.244098E+09  3.456623E-02  1.655072E+09  2.207435E-02  9.231611E+07  2.833633E+06  6.589274E-09  3.719019E+04  2.195148E-01  2.391207E-07  1.921230E-04
  2.183372E-01  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396445E-28  3.660792E-17  1.616904E-14  4.356065E-12  2.243942E+09  3.456598E-02  1.654810E+09  2.207291E-02  9.231623E+07  2.833663E+06  6.589672E-09  3.719233E+04  2.195193E-01  2.391160E-07  1.921347E-04
  4.401399E-01  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.396896E-28  3.660792E-17  1.616805E-14  4.356327E-12  2.243629E+09  3.456547E-02  1.654285E+09  2.207004E-02  9.231647E+07  2.833723E+06  6.590468E-09  3.719663E+04  2.195281E-01  2.391065E-07  1.921581E-04
  8.837454E-01  3.419600E+00  7.334200E+02  5.682767E+13  4.836819E+12  2.314126E+03  7.397797E-28  3.660793E-17  1.616609E-14  4.356852E-12  2.243005E+09  3.456446E-02  1.653237E+09  2.206431E-02  9.231694E+07  2.833842E+06  6.592060E-09  3.720521E+04  2.195458E-01  2.390877E-07  1.922047E-04
  1.770956E+00  3.419600E+00  7.334200E+02  5.682767E+13  4.836820E+12  2.314126E+03  7.399596E-28  3.660793E-17  1.616218E-14  4.357899E-12  2.241758E+09  3.456242E-02  1.651147E+09  2.205286E-02  9.231790E+07  2.834081E+06  6.595238E-09  3.722235E+04  2.195811E-01  2.390501E-07  1.922978E-04
  3.545378E+00  3.419601E+00  7.334200E+02  5.682768E+13  4.836820E+12  2.314127E+03  7.403179E-28  3.660795E-17  1.615440E-14  4.359985E-12  2.239274E+09  3.455835E-02  1.646989E+09  2.203005E-02  9.231980E+07  2.834557E+06  6.601572E-09  3.725650E+04  2.196514E-01  2.389752E-07  1.924835E-04
  7.094222E+00  3.419602E+00  7.334200E+02  5.682770E+13  4.836822E+12  2.314129E+03  7.410295E-28  3.660799E-17  1.613895E-14  4.364127E-12  2.234338E+09  3.455018E-02  1.638760E+09  2.198478E-02  9.232357E+07  2.835502E+06  6.614159E-09  3.732434E+04  2.197910E-01  2.388266E-07  1.928524E-04
  1.419191E+01  3.419604E+00  7.334200E+02  5.682773E+13  4.836824E+12  2.314132E+03  7.424327E-28  3.660805E-17  1.610859E-14  4.372295E-12  2.224599E+09  3.453375E-02  1.622636E+09  2.189553E-02  9.233100E+07  2.837362E+06  6.639011E-09  3.745825E+04  2.200661E-01  2.385344E-07  1.935809E-04
  2.838729E+01  3.419608E+00  7.334201E+02  5.682780E+13  4.836830E+12  2.314139E+03  7.451638E-28  3.660819E-17  1.604983E-14  4.388189E-12  2.205618E+09  3.450052E-02  1.591642E+09  2.172193E-02  9.234539E+07  2.840974E+06  6.687508E-09  3.771935E+04  2.206012E-01  2.379680E-07  1.950026E-04
  3.634505E+01  3.419610E+00  7.334201E+02  5.682783E+13  4.836833E+12  2.314142E+03  7.466538E-28  3.660827E-17  1.601796E-14  4.396859E-12  2.195249E+09  3.448170E-02  1.574947E+09  2.162728E-02  9.235321E+07  2.842941E+06  6.714038E-09  3.786206E+04  2.208930E-01  2.376603E-07  1.957804E-04
  5.226058E+01  3.419615E+00  7.334201E+02  5.682790E+13  4.836839E+12  2.314150E+03  7.495527E-28  3.660842E-17  1.595631E-14  4.413724E-12  2.175048E+09  3.444366E-02  1.542891E+09  2.144324E-02  9.236836E+07  2.846756E+06  6.765796E-09  3.814023E+04  2.214602E-01  2.370645E-07  1.972981E-04
  8.409164E+01  3.419624E+00  7.334202E+02  5.682805E+13  4.836851E+12  2.314164E+03  7.550609E-28  3.660873E-17  1.584048E-14  4.445759E-12  2.136570E+09  3.436614E-02  1.483499E+09  2.109380E-02  9.239694E+07  2.853971E+06  6.864661E-09  3.867066E+04  2.225364E-01  2.359424E-07  2.001979E-04
  1.477538E+02  3.419642E+00  7.334203E+02  5.682833E+13  4.836876E+12  2.314191E+03  7.651301E-28  3.660934E-17  1.563310E-14  4.504281E-12  2.065940E+09  3.420623E-02  1.379875E+09  2.045555E-02  9.244841E+07  2.867039E+06  7.047133E-09  3.964636E+04  2.244978E-01  2.339249E-07  2.055527E-04
  2.629011E+02  3.419674E+00  7.334206E+02  5.682885E+13  4.836920E+12  2.314239E+03  7.809853E-28  3.661044E-17  1.531750E-14  4.596320E-12  1.954086E+09  3.390465E-02  1.228834E+09  1.945015E-02  9.252749E+07  2.887293E+06  7.338996E-09  4.119742E+04  2.275696E-01  2.308351E-07  2.141258E-04
  4.931957E+02  3.419739E+00  7.334210E+02  5.682989E+13  4.837008E+12  2.314331E+03  8.068060E-28  3.661266E-17  1.483038E-14  4.745869E-12  1.770760E+09  3.327304E-02  1.011402E+09  1.780578E-02  9.265118E+07  2.919396E+06  7.825974E-09  4.375572E+04  2.325192E-01  2.260292E-07  2.284565E-04
  9.537849E+02  3.419868E+00  7.334220E+02  5.683197E+13  4.837185E+12  2.314504E+03  8.449797E-28  3.661708E-17  1.416561E-14  4.965945E-12  1.498789E+09  3.197765E-02  7.452640E+08  1.534514E-02  9.282255E+07  2.964673E+06  8.571371E-09  4.758199E+04  2.396755E-01  2.194381E-07  2.504756E-04
  1.874963E+03  3.420127E+00  7.334240E+02  5.683613E+13  4.837539E+12  2.314832E+03  8.956318E-28  3.662594E-17  1.337323E-14  5.255216E-12  1.150159E+09  2.954885E-02  4.875694E+08  1.274649E-02  9.302797E+07  3.019919E+06  9.603317E-09  5.261745E+04  2.487055E-01  2.116902E-07  2.812054E-04
  2.127921E+03  3.420199E+00  7.334245E+02  5.683727E+13  4.837636E+12  2.314920E+03  9.063574E-28  3.662837E-17  1.321722E-14  5.315915E-12  1.081180E+09  2.894421E-02  4.464239E+08  1.243238E-02  9.306799E+07  3.030756E+06  9.827481E-09  5.365466E+04  2.505183E-01  2.102088E-07  2.879307E-04
  2.633836E+03  3.420341E+00  7.334256E+02  5.683955E+13  4.837830E+12  2.315095E+03  9.248732E-28  3.663324E-17  1.295691E-14  5.420024E-12  9.652858E+08  2.780966E-02  3.819097E+08  1.194593E-02  9.313385E+07  3.048575E+06  1.021826E-08  5.539611E+04  2.535313E-01  2.078026E-07  2.997155E-04
  3.645666E+03  3.420626E+00  7.334277E+02  5.684412E+13  4.838219E+12  2.315439E+03  9.535473E-28  3.664297E-17  1.257535E-14  5.578991E-12  7.945505E+08  2.581504E-02  2.961229E+08  1.131649E-02  9.322667E+07  3.073435E+06  1.083071E-08  5.790000E+04  2.578092E-01  2.045147E-07  3.183912E-04
  5.669327E+03  3.421195E+00  7.334320E+02  5.685325E+13  4.838997E+12  2.316120E+03  9.914421E-28  3.666244E-17  1.210968E-14  5.783538E-12  5.867598E+08  2.268563E-02  2.040145E+08  1.068523E-02  9.332642E+07  3.098739E+06  1.164324E-08  6.052667E+04  2.622870E-01  2.012953E-07  3.438096E-04
  6.598414E+03  3.421457E+00  7.334339E+02  5.685745E+13  4.839353E+12  2.316430E+03  1.003758E-27  3.667138E-17  1.196776E-14  5.848017E-12  5.237477E+08  2.153389E-02  1.785554E+08  1.051769E-02  9.335078E+07  3.104136E+06  1.190401E-08  6.108917E+04  2.632775E-01  2.006522E-07  3.522288E-04
  8.456587E+03  3.421980E+00  7.334379E+02  5.686583E+13  4.840067E+12  2.317049E+03  1.022791E-27  3.668927E-17  1.175800E-14  5.944954E-12  4.311722E+08  1.961043E-02  1.429743E+08  1.028979E-02  9.337667E+07  3.108196E+06  1.229759E-08  6.149011E+04  2.640853E-01  2.002554E-07  3.653586E-04
  1.217293E+04  3.423026E+00  7.334457E+02  5.688262E+13  4.841496E+12  2.318283E+03  1.048835E-27  3.672508E-17  1.149110E-14  6.068176E-12  3.184921E+08  1.679801E-02  1.022214E+08  1.007083E-02  9.337926E+07  3.101784E+06  1.280364E-08  6.071520E+04  2.631568E-01  2.013760E-07  3.834749E-04
  1.960563E+04  3.425119E+00  7.334614E+02  5.691619E+13  4.844354E+12  2.320747E+03  1.080545E-27  3.679680E-17  1.120232E-14  6.195528E-12  2.092711E+08  1.334910E-02  6.512467E+07  9.975907E-03  9.329619E+07  3.063440E+06  1.332674E-08  5.655615E+04  2.569287E-01  2.070705E-07  4.055028E-04
  3.447102E+04  3.429310E+00  7.334928E+02  5.698341E+13  4.850074E+12  2.325673E+03  1.117852E-27  3.694065E-17  1.092246E-14  6.300880E-12  1.243101E+08  9.858847E-03  3.799160E+07  1.006346E-02  9.297413E+07  2.947067E+06  1.373514E-08  4.553361E+04  2.385897E-01  2.246960E-07  4.307963E-04
  6.420180E+04  3.437707E+00  7.335555E+02  5.711807E+13  4.861536E+12  2.335549E+03  1.169853E-27  3.723002E-17  1.061918E-14  6.374461E-12  6.888425E+07  6.923968E-03  2.095319E+07  1.047904E-02  9.181972E+07  2.622190E+06  1.401863E-08  2.377544E+04  1.934559E-01  2.813741E-07  4.648781E-04
  1.236634E+05  3.454562E+00  7.336811E+02  5.738836E+13  4.884542E+12  2.355416E+03  1.254492E-27  3.781544E-17  1.025261E-14  6.413874E-12  3.689748E+07  4.816203E-03  1.133855E+07  1.133103E-02  8.783331E+07  1.904437E+06  1.511761E-08  2.398798E+03  1.175670E-01  4.758458E-07  5.188813E-04
  2.425865E+05  3.488520E+00  7.339321E+02  5.793278E+13  4.930879E+12  2.395630E+03  1.395746E-27  3.901350E-17  9.879186E-15  6.353968E-12  1.982525E+07  3.474262E-03  6.253041E+06  1.265587E-02  8.792487E+07  1.834084E+06  1.653465E-08  1.250469E+03  1.114314E-01  5.212661E-07  6.049433E-04
  3.195725E+05  3.510682E+00  7.340946E+02  5.828796E+13  4.961110E+12  2.422013E+03  1.467597E-27  3.980886E-17  9.828780E-15  6.260972E-12  1.572535E+07  3.095798E-03  5.130103E+06  1.306583E-02  8.835156E+07  1.833049E+06  1.693155E-08  1.107893E+03  1.113103E-01  5.343289E-07  6.433276E-04
  4.735446E+05  3.555427E+00  7.344197E+02  5.900488E+13  5.022130E+12  2.475625E+03  1.590184E-27  4.144762E-17  9.926702E-15  6.068721E-12  1.170512E+07  2.679831E-03  4.071006E+06  1.352950E-02  8.930278E+07  1.841538E+06  1.736102E-08  9.496227E+02  1.119465E-01  5.568529E-07  6.987924E-04
  7.249784E+05  3.629726E+00  7.349505E+02  6.019460E+13  5.123391E+12  2.565652E+03  1.773723E-27  4.426709E-17  1.030945E-14  5.828686E-12  9.075439E+06  2.377103E-03  3.329702E+06  1.416403E-02  9.098789E+07  1.867952E+06  1.786203E-08  8.315137E+02  1.140327E-01  5.900296E-07  7.658242E-04
  1.227846E+06  3.783013E+00  7.360121E+02  6.264648E+13  5.332081E+12  2.755336E+03  2.147676E-27  5.048229E-17  1.141965E-14  5.704204E-12  7.359935E+06  2.187485E-03  2.804474E+06  1.530243E-02  9.458424E+07  1.936534E+06  1.893746E-08  7.468033E+02  1.195465E-01  6.552413E-07  8.715877E-04
  2.233581E+06  4.109281E+00  7.381353E+02  6.785394E+13  5.775307E+12  3.176409E+03  3.079150E-27  6.559016E-17  1.429669E-14  6.285900E-12  6.654850E+06  2.253017E-03  2.583983E+06  1.764785E-02  1.023614E+08  2.098301E+06  2.219395E-08  7.387145E+02  1.328392E-01  7.982215E-07  1.081683E-03
  4.245051E+06  4.848544E+00  7.424020E+02  7.959941E+13  6.775008E+12  4.218040E+03  6.249654E-27  1.105315E-16  2.260386E-14  9.281542E-12  7.205674E+06  2.943988E-03  2.823798E+06  2.331269E-02  1.200460E+08  2.481693E+06  3.312606E-08  9.038562E+02  1.656707E-01  1.170499E-06  1.630046E-03
  4.739247E+06  5.046638E+00  7.439539E+02  8.268006E+13  7.037214E+12  4.627007E+03  7.916332E-27  1.321351E-16  2.665323E-14  9.939503E-12  6.879375E+06  3.056580E-03  2.708094E+06  2.578212E-02  1.246558E+08  2.582738E+06  3.572048E-08  9.217019E+02  1.756967E-01  1.345817E-06  1.855374E-03
  5.727639E+06  5.467435E+00  7.470579E+02  8.920366E+13  7.592463E+12  5.562677E+03  1.265436E-26  1.884610E-16  3.702772E-14  1.160241E-11  6.450778E+06  3.357316E-03  2.553903E+06  3.147408E-02  1.344312E+08  2.799205E+06  4.183064E-08  9.783903E+02  1.977441E-01  1.774327E-06  2.395319E-03
  7.704421E+06  6.417217E+00  7.532658E+02  1.038356E+14  8.837846E+12  8.011114E+03  3.197057E-26  3.803919E-16  7.099825E-14  1.627926E-11  5.944052E+06  4.170219E-03  2.369257E+06  4.663600E-02  1.563757E+08  3.291289E+06  5.789964E-08  1.139591E+03  2.506083E-01  3.058287E-06  3.963009E-03
  1.165799E+07  8.797859E+00  7.669394E+02  1.398206E+14  1.190066E+13  1.727675E+04  2.267731E-25  1.692460E-15  2.872920E-13  3.059891E-11  4.579863E+06  6.099283E-03  1.843838E+06  1.083472E-01  2.102535E+08  4.527208E+06  1.034290E-07  1.479497E+03  4.049376E-01  9.837423E-06  1.133216E-02
  1.623441E+07  1.258535E+01  7.850586E+02  1.953993E+14  1.663118E+13  4.492256E+04  2.629748E-24  1.105061E-14  1.695208E-12  1.223478E-11  5.897248E+05  1.810566E-03  2.403870E+05  3.159012E-01  2.925827E+08  6.422989E+06  3.733221E-08  3.850801E+02  7.017114E-01  4.419590E-05  4.150003E-02
  2.081084E+07  1.784694E+01  8.055121E+02  2.700576E+14  2.298563E+13  1.232511E+05  3.502112E-23  8.155325E-14  1.150017E-11  1.621853E-10  2.322184E+06  1.696778E-02  9.577718E+05  9.984417E-01  4.051177E+08  9.315068E+06  3.310643E-07  3.265591E+03  1.280256E+00  2.119939E-04  1.594727E-01
  2.297403E+07  2.098509E+01  8.157919E+02  3.135440E+14  2.668692E+13  2.001143E+05  1.217400E-22  2.136761E-13  2.901217E-11  7.514568E-10  5.980999E+06  6.626648E-02  2.477682E+06  1.743284E+00  4.726051E+08  1.128213E+07  1.430504E-06  1.221437E+04  1.749810E+00  4.396086E-04  3.039733E-01
  2.713042E+07  2.849208E+01  8.363166E+02  4.152472E+14  3.534327E+13  5.067695E+05  1.328563E-21  1.358081E-12  1.719940E-10  6.432698E-09  1.655625E+07  4.103085E-01  6.935947E+06  5.078615E+00  6.341000E+08  1.652245E+07  1.048086E-05  6.814989E+04  3.281505E+00  1.726879E-03  1.043097E+00
  2.918005E+07  3.300619E+01  8.465018E+02  4.752790E+14  4.045280E+13  7.906560E+05  4.167333E-21  3.290128E-12  4.030828E-10  1.464565E-08  2.198010E+07  8.028306E-01  9.275961E+06  8.453908E+00  7.300517E+08  1.981004E+07  2.222731E-05  1.245414E+05  4.437902E+00  3.320517E-03  1.879158E+00
  2.932012E+07  3.333960E+01  8.471979E+02  4.796850E+14  4.082782E+13  8.147913E+05  4.501876E-21  3.492721E-12  4.269299E-10  1.543912E-08  2.234337E+07  8.377372E-01  9.434689E+06  8.748973E+00  7.370915E+08  2.005351E+07  2.332914E-05  1.292857E+05  4.529021E+00  3.470806E-03  1.955387E+00
  2.960026E+07  3.401654E+01  8.485900E+02  4.886200E+14  4.158831E+13  8.651871E+05  5.251874E-21  3.935034E-12  4.788098E-10  1.713403E-08  2.306093E+07  9.109857E-01  9.749257E+06  9.368447E+00  7.513621E+08  2.054743E+07  2.567024E-05  1.391133E+05  4.716124E+00  3.791698E-03  2.116866E+00
  2.974263E+07  3.436583E+01  8.492975E+02  4.932246E+14  4.198022E+13  8.919257E+05  5.678696E-21  4.180293E-12  5.074762E-10  1.805310E-08  2.342055E+07  9.500105E-01  9.907471E+06  9.698879E+00  7.587132E+08  2.080200E+07  2.693330E-05  1.442807E+05  4.813731E+00  3.965789E-03  2.203774E+00
  3.002738E+07  3.507521E+01  8.507125E+02  5.025643E+14  4.277516E+13  9.477866E+05  6.636867E-21  4.716314E-12  5.699024E-10  2.001468E-08  2.412868E+07  1.031814E+00  1.022023E+07  1.039289E+01  7.736166E+08  2.131829E+07  2.961583E-05  1.549643E+05  5.014116E+00  4.337909E-03  2.387992E+00
  3.018117E+07  3.546441E+01  8.514767E+02  5.076820E+14  4.321075E+13  9.793294E+05  7.218554E-21  5.033094E-12  6.066619E-10  2.114592E-08  2.450474E+07  1.078139E+00  1.038704E+07  1.078686E+01  7.817787E+08  2.160112E+07  3.115543E-05  1.609282E+05  5.125256E+00  4.552985E-03  2.493554E+00
  3.048876E+07  3.625583E+01  8.530052E+02  5.180743E+14  4.409527E+13  1.045445E+06  8.535816E-21  5.730072E-12  6.872272E-10  2.356924E-08  2.524315E+07  1.175476E+00  1.071618E+07  1.161721E+01  7.983439E+08  2.217520E+07  3.443738E-05  1.732660E+05  5.353795E+00  5.015146E-03  2.718279E+00
  3.077659E+07  3.701241E+01  8.544356E+02  5.279919E+14  4.493940E+13  1.111155E+06  9.980441E-21  6.466969E-12  7.719878E-10  2.604429E-08  2.591790E+07  1.272476E+00  1.101900E+07  1.244818E+01  8.141410E+08  2.272272E+07  3.776908E-05  1.853130E+05  5.575399E+00  5.489360E-03  2.946092E+00
  3.092459E+07  3.740756E+01  8.551710E+02  5.331650E+14  4.537970E+13  1.146457E+06  1.081392E-20  6.881022E-12  8.194439E-10  2.740025E-08  2.625900E+07  1.324682E+00  1.117290E+07  1.289678E+01  8.223766E+08  2.300818E+07  3.958650E-05  1.916993E+05  5.692331E+00  5.750113E-03  3.070250E+00
  3.122058E+07  3.821054E+01  8.566419E+02  5.436637E+14  4.627328E+13  1.220296E+06  1.269069E-20  7.788066E-12  9.230205E-10  3.029381E-08  2.693023E+07  1.434082E+00  1.147750E+07  1.383970E+01  8.390824E+08  2.358729E+07  4.344783E-05  2.048725E+05  5.932451E+00  6.308726E-03  3.333785E+00
  3.142418E+07  3.877285E+01  8.576536E+02  5.510048E+14  4.689812E+13  1.273695E+06  1.416327E-20  8.478540E-12  1.001546E-09  3.243358E-08  2.738425E+07  1.513374E+00  1.168493E+07  1.452524E+01  8.507577E+08  2.399208E+07  4.628942E-05  2.142517E+05  6.102583E+00  6.723601E-03  3.527499E+00
  3.183138E+07  3.989566E+01  8.595930E+02  5.656923E+14  4.814822E+13  1.382759E+06  1.747867E-20  9.975674E-12  1.170675E-09  3.669935E-08  2.808246E+07  1.665704E+00  1.201292E+07  1.592738E+01  8.739692E+08  2.477998E+07  5.193655E-05  2.315644E+05  6.436417E+00  7.604434E-03  3.931474E+00
  3.264577E+07  4.222885E+01  8.634393E+02  5.961330E+14  5.073915E+13  1.626185E+06  2.646409E-20  1.374667E-11  1.592207E-09  4.656006E-08  2.935311E+07  2.000834E+00  1.262718E+07  1.908640E+01  9.219734E+08  2.640291E+07  6.485503E-05  2.678311E+05  7.143731E+00  9.703716E-03  4.868737E+00
  3.427454E+07  4.731258E+01  8.711319E+02  6.620170E+14  5.634678E+13  2.241112E+06  6.004145E-20  2.590171E-11  2.923665E-09  7.405611E-08  3.186889E+07  2.854041E+00  1.390365E+07  2.720328E+01  1.025749E+09  2.992239E+07  9.997720E-05  3.520255E+05  8.769675E+00  1.573188E-02  7.421031E+00
  3.753210E+07  5.927794E+01  8.860339E+02  8.154578E+14  6.940672E+13  4.128149E+06  2.838550E-19  8.610703E-11  9.242511E-09  1.754874E-07  3.681621E+07  5.467019E+00  1.672205E+07  5.239299E+01  1.266477E+09  3.805793E+07  2.223181E-04  5.612082E+05  1.292572E+01  3.955013E-02  1.647388E+01
  4.210853E+07  8.085455E+01  9.055084E+02  1.088330E+15  9.263188E+13  9.018503E+06  2.042285E-18  3.951587E-10  3.953542E-08  5.046232E-07  4.311793E+07  1.184214E+01  2.103657E+07  1.163085E+02  1.691170E+09  5.217237E+07  5.849277E-04  9.136227E+05  2.113421E+01  1.289144E-01  4.539114E+01
  4.668495E+07  1.095634E+02  9.245411E+02  1.444373E+15  1.229361E+14  1.887256E+07  1.315612E-17  1.657151E-09  1.539605E-07  1.311442E-06  4.836849E+07  2.351830E+01  2.497561E+07  2.459058E+02  2.241784E+09  7.035888E+07  1.402992E-03  1.322623E+06  3.339150E+01  3.960682E-01  1.187275E+02
  4.938607E+07  1.305587E+02  9.357910E+02  1.700572E+15  1.447422E+14  2.881336E+07  3.834975E-17  3.765160E-09  3.340589E-07  2.251260E-06  5.129908E+07  3.466255E+01  2.706133E+07  3.813783E+02  2.637029E+09  8.349907E+07  2.310061E-03  1.593181E+06  4.334544E+01  7.542066E-01  2.068196E+02
  5.396250E+07  1.751654E+02  9.551680E+02  2.235298E+15  1.902547E+14  5.838113E+07  2.292624E-16  1.480123E-08  1.211457E-06  5.495202E-06  5.604665E+07  6.569794E+01  3.033570E+07  8.019857E+02  3.460944E+09  1.112104E+08  5.270631E-03  2.084149E+06  6.704573E+01  2.206926E+00  5.233341E+02
  5.853892E+07  2.336722E+02  9.751257E+02  2.920803E+15  2.486006E+14  1.171841E+08  1.340557E-15  5.719726E-08  4.323184E-06  1.310224E-05  6.041569E+07  1.222108E+02  3.356456E+07  1.673461E+03  4.518611E+09  1.477008E+08  1.172212E-02  2.582611E+06  1.035442E+02  6.337142E+00  1.300822E+03
  6.311535E+07  3.099103E+02  9.954606E+02  3.794493E+15  3.229637E+14  2.316382E+08  7.525727E-15  2.144966E-07  1.501938E-05  3.085491E-05  6.576690E+07  2.256718E+02  3.807936E+07  3.388484E+03  5.875543E+09  1.965046E+08  2.560164E-02  3.107894E+06  1.608499E+02  1.749709E+01  3.133863E+03
  6.529921E+07  3.535409E+02  1.004767E+03  4.288849E+15  3.650403E+14  3.145028E+08  1.627827E-14  3.870299E-07  2.614023E-05  4.469283E-05  6.783734E+07  2.926955E+02  4.037802E+07  4.610024E+03  6.646915E+09  2.249490E+08  3.579020E-02  3.313355E+06  1.977027E+02  2.734602E+01  4.636904E+03
  6.966693E+07  4.594552E+02  1.023136E+03  5.473401E+15  4.658620E+14  5.683441E+08  7.217078E-14  1.207578E-06  7.585928E-05  9.102381E-05  7.259262E+07  4.820366E+02  4.639701E+07  8.408568E+03  8.510108E+09  2.961823E+08  6.797738E-02  3.782029E+06  3.006385E+02  6.353413E+01  9.843413E+03
  7.158646E+07  5.143399E+02  1.030733E+03  6.082311E+15  5.176886E+14  7.240876E+08  1.324853E-13  1.917428E-06  1.165833E-04  1.215963E-04  7.501659E+07  5.901400E+02  4.972303E+07  1.085517E+04  9.474528E+09  3.341447E+08  8.825672E-02  4.062917E+06  3.605668E+02  8.874067E+01  1.339167E+04
  7.476552E+07  6.200325E+02  1.043316E+03  7.243359E+15  6.165098E+14  1.074897E+09  3.561462E-13  4.070011E-06  2.345450E-04  1.953672E-04  7.920583E+07  8.204070E+02  5.681346E+07  1.677283E+04  1.132292E+10  4.086779E+08  1.347458E-01  4.496601E+06  4.886420E+02  1.518504E+02  2.203237E+04
  7.713219E+07  7.106651E+02  1.051933E+03  8.234462E+15  7.008664E+14  1.408992E+09  6.970474E-13  6.781930E-06  3.761141E-04  2.693474E-04  8.143794E+07  1.012637E+03  6.359664E+07  2.258231E+04  1.290489E+10  4.732989E+08  1.773356E-01  4.745445E+06  6.072029E+02  2.172398E+02  3.085839E+04
  7.839765E+07  7.643297E+02  1.056499E+03  8.818028E+15  7.505359E+14  1.624469E+09  9.879133E-13  8.865120E-06  4.834684E-04  3.210243E-04  8.202188E+07  1.125767E+03  6.909368E+07  2.604460E+04  1.383937E+10  5.120423E+08  2.032632E-01  4.888791E+06  6.821636E+02  2.616325E+02  3.656178E+04
  7.890634E+07  7.870270E+02  1.058335E+03  9.064104E+15  7.714804E+14  1.719655E+09  1.135125E-12  9.867365E-06  5.348112E-04  3.446564E-04  8.217681E+07  1.173824E+03  7.168634E+07  2.756244E+04  1.423404E+10  5.285275E+08  2.144358E-01  4.945330E+06  7.149378E+02  2.817362E+02  3.908336E+04
  7.992371E+07  8.344637E+02  1.062006E+03  9.577047E+15  8.151389E+14  1.926229E+09  1.495833E-12  1.221278E-05  6.542159E-04  3.973811E-04  8.238910E+07  1.274965E+03  7.745182E+07  3.089726E+04  1.505783E+10  5.631547E+08  2.382573E-01  5.052774E+06  7.854424E+02  3.263088E+02  4.457417E+04
  8.136031E+07  9.060208E+02  1.067081E+03  1.034861E+16  8.808096E+14  2.252663E+09  2.185081E-12  1.637705E-05  8.636252E-04  4.840480E-04  8.250580E+07  1.426025E+03  8.674715E+07  3.631487E+04  1.629863E+10  6.156688E+08  2.747763E-01  5.185274E+06  8.958658E+02  3.988558E+02  5.332518E+04
  8.414734E+07  1.060252E+03  1.076218E+03  1.200785E+16  1.022034E+15  2.991552E+09  4.319621E-12  2.773499E-05  1.418560E-03  6.893815E-04  8.229633E+07  1.729501E+03  1.072279E+08  4.939813E+04  1.896872E+10  7.292282E+08  3.526762E-01  5.353645E+06  1.144817E+03  5.694712E+02  7.365682E+04
  8.872376E+07  1.370339E+03  1.091031E+03  1.530881E+16  1.302991E+15  4.707582E+09  1.286644E-11  6.417263E-05  3.104321E-03  1.209390E-03  8.307013E+07  2.377516E+03  1.463274E+08  8.673705E+04  2.430630E+10  9.617543E+08  5.323036E-01  5.434958E+06  1.710182E+03  9.958078E+02  1.241360E+05
  9.122062E+07  1.573529E+03  1.098907E+03  1.745289E+16  1.485482E+15  5.974907E+09  2.297750E-11  9.955203E-05  4.634821E-03  1.622094E-03  8.532553E+07  2.845384E+03  1.673895E+08  1.197051E+05  2.778805E+10  1.116667E+09  6.724502E-01  5.696394E+06  2.123570E+03  1.328044E+03  1.653050E+05
  9.416704E+07  1.851118E+03  1.108172E+03  2.035968E+16  1.732889E+15  7.883968E+09  4.535564E-11  1.657398E-04  7.328488E-03  2.281273E-03  8.963359E+07  3.540012E+03  1.914702E+08  1.752573E+05  3.252355E+10  1.330844E+09  8.942018E-01  6.096986E+06  2.740531E+03  1.849636E+03  2.327711E+05
  9.471894E+07  1.907527E+03  1.109891E+03  2.094781E+16  1.782948E+15  8.296616E+09  5.142650E-11  1.820227E-04  7.967546E-03  2.432137E-03  9.069812E+07  3.692318E+03  1.960947E+08  1.878844E+05  3.348362E+10  1.374716E+09  9.444332E-01  6.183486E+06  2.873170E+03  1.965164E+03  2.480771E+05
